key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:inventor
#base entity
invention-1,"","","","","","",false,inventor-1
#tickers - standard variations,"","","","",""
invention-2,A11-aaaaa,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
invention-3,AP90-AAAAAAAAAAAA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,invention-1
#names - standard variations
invention-4,JA00-oooo1,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
invention-5,JA00-oooo2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
#Different description,"","","","",""
invention-6,JA00-oooo3,"Lorem ipsum dolor sit amet, consectetu","",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
invention-7,JA00-oooo4,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
#start-moment - standard variations
invention-8,JA00-oooo5,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","",2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
invention-9,JA00-oooo6,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2024/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
invention-10,JA00-oooo7,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2201/01/01 00:00,2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
invention-11,JA00-oooo8,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2114/01/01 00:00,2113/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
#end-moment - standard variations
invention-12,JA00-oooo9,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,"",http://lorem.com/ipsum,false,inventor-1
