key,ticker,name,description,startMoment,endMoment,MoreInfo,draftMode,key:fundraiser
#base entity
strategy-1,"","","","","","",false,fundraiser-1
#tickers - standard variations,"","","","",""
strategy-2,A11-aaaaa,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-3,AP90-AAAAAAAAAAAA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
#names - standard variations
strategy-4,AC13-hoLAS,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-5,AD13-hoLAS,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
#Different description,"","","","",""
strategy-6,AH13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-7,AI13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2025/08/01 0:00,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
#start-moment - standard variations
strategy-8,AM13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","",2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-9,AN13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2024/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-10,AN13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2201/01/01 00:00,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
