key,role,key:member,key:project
project-member-01,"FUNDRAISER",member-01,project-1
# role - standard variations,,,
project-member-02,"SPOKESPERSON",member-01,project-1
project-member-03,"INVENTOR",member-01,project-1
# key:member - standard variations,,,
project-member-04,"FUNDRAISER",member-02,project-1
project-member-05,"FUNDRAISER",member-03,project-1
# key:project - standard variations,,,
project-member-06,"FUNDRAISER",member-01,project-2
project-member-07,"INVENTOR",member-24,project-2
project-member-08,"INVENTOR",member-24,project-4
project-member-09,"INVENTOR",member-24,project-1
project-member-10,"SPOKESPERSON",member-48,project-1
project-member-11,"FUNDRAISER",member-02,project-2
project-member-12,"FUNDRAISER",member-02,project-3
project-member-13,"FUNDRAISER",member-02,project-4
project-member-14,"INVENTOR",member-24,project-5
project-member-15,"SPOKESPERSON",member-48,project-3
# assesment B data
project-member-16,"INVENTOR",member-24,project-42
project-member-17,"INVENTOR",member-24,project-43
