key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:sponsor
# base entity,,,,,,,,
sponsorship-00,"NN55-0000000","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
# ticker - standard variations,,,,,,,,
sponsorship-01,"ZZ55-0000000","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-02,"AA55-0000000","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-03,"NN00-0000000","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-04,"NN99-0000000","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-05,"NN55-00000","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-06,"NN55-0000000000","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-07,"NN55-_______","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
# name - standard variations,,,,,,,,
sponsorship-08,"NN55-0000001","L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-09,"NN55-0000002","Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-10,"NN55-0000003","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-11,"NN55-0000004","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-12,"NN55-0000005","โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-13,"NN55-0000006","لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-14,"NN55-0000007","洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-15,"NN55-0000008","<marquee>Hacked</marquee>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-16,"NN55-0000009","<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-17,"NN55-0000010","' or 'A' = 'A ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
# description - standard variations,,,,,,,,
sponsorship-18,"NN55-0000011","Lorem ipsum dolor sit amet, consectetu","L",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-19,"NN55-0000012","Lorem ipsum dolor sit amet, consectetu","Lo",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-20,"NN55-0000013","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-21,"NN55-0000014","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-22,"NN55-0000015","Lorem ipsum dolor sit amet, consectetu","โลเร็ม อิปซัม",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-23,"NN55-0000016","Lorem ipsum dolor sit amet, consectetu","لوريم إيبسوم",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-24,"NN55-0000017","Lorem ipsum dolor sit amet, consectetu","洛伦·伊普森",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-25,"NN55-0000018","Lorem ipsum dolor sit amet, consectetu","<marquee>Hacked</marquee>",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-26,"NN55-0000019","Lorem ipsum dolor sit amet, consectetu","<script>alert(‘Hacked!’);</script>",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-27,"NN55-0000020","Lorem ipsum dolor sit amet, consectetu","' or 'A' = 'A ",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
# start-moment - standard variations,,,,,,,,
sponsorship-28,"NN55-0000021","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:00,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-29,"NN55-0000022","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-30,"NN55-0000023","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2200/12/31 23:58,2200/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
# end-moment - standard variations,,,,,,,,
sponsorship-31,"NN55-0000024","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:00,2025/01/01 00:01,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-32,"NN55-0000025","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2200/12/31 23:58,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-33,"NN55-0000026","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2200/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
# more-info - standard variations,,,,,,,,
sponsorship-34,"NN55-0000027","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-00
sponsorship-35,"NN55-0000028","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://a.b",TRUE,sponsor-00
sponsorship-36,"NN55-0000029","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",TRUE,sponsor-00
sponsorship-37,"NN55-0000030","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",TRUE,sponsor-00
sponsorship-38,"NN55-0000031","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://www.lorem-ipsum.org",TRUE,sponsor-00
sponsorship-39,"NN55-0000032","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"https://www.lorem-ipsum.org",TRUE,sponsor-00
sponsorship-40,"NN55-0000033","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit.html",TRUE,sponsor-00
sponsorship-41,"NN55-0000034","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit.html#dolor",TRUE,sponsor-00
sponsorship-42,"NN55-0000035","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org?a=1&b=2",TRUE,sponsor-00
sponsorship-43,"NN55-0000036","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org?",TRUE,sponsor-00
